video_path,caption
C:/Users/poloj/Video_captioning/videos/video1.mp4,a man playing badminton with a shuttlecock on a court
C:/Users/poloj/Video_captioning/videos/video2.mp4,two bears are playing on the road
C:/Users/poloj/Video_captioning/videos/video3.mp4,colorful fish swimming in a pond
C:/Users/poloj/Video_captioning/videos/video4.mp4,two people riding horses on a sandy beach
C:/Users/poloj/Video_captioning/videos/video5.mp4,a dog playing with a toy in the yard
C:/Users/poloj/Video_captioning/videos/video6.mp4,a hockey game is being played on the ice
C:/Users/poloj/Video_captioning/videos/video7.mp4,a person skiing down a snow-covered mountain
C:/Users/poloj/Video_captioning/videos/video8.mp4,a group of people playing on a playground
C:/Users/poloj/Video_captioning/videos/video9.mp4,a woman in a white dress playing a violin
C:/Users/poloj/Video_captioning/videos/video10.mp4,a man is shooting a bow at a target
C:/Users/poloj/Video_captioning/videos/video11.mp4,a man playing chess on a bench
C:/Users/poloj/Video_captioning/videos/video12.mp4,people running on a track
C:/Users/poloj/Video_captioning/videos/video13.mp4,a flock of birds flying in the sky
C:/Users/poloj/Video_captioning/videos/video14.mp4,a bird perched on a branch with green background
C:/Users/poloj/Video_captioning/videos/video15.mp4,a bell hanging from the ceiling in a church
C:/Users/poloj/Video_captioning/videos/video16.mp4,a woman counting money into a cash machine
C:/Users/poloj/Video_captioning/videos/video17.mp4,an airplane flying in the sky during sunset
C:/Users/poloj/Video_captioning/videos/video18.mp4,a green pond with small fish swimming in it
C:/Users/poloj/Video_captioning/videos/video19.mp4,a person typing on a laptop computer
C:/Users/poloj/Video_captioning/videos/video20.mp4,rain falling on tree leaves
C:/Users/poloj/Video_captioning/videos/video21.mp4,a baby crying on a bed
C:/Users/poloj/Video_captioning/videos/video22.mp4,a coffee machine pouring coffee into a cup
C:/Users/poloj/Video_captioning/videos/video23.mp4,two boys playing in water at sunset
C:/Users/poloj/Video_captioning/videos/video24.mp4,a large airplane taking off from a runway
C:/Users/poloj/Video_captioning/videos/video25.mp4,a woman is walking in the park with her laptop
C:/Users/poloj/Video_captioning/videos/video26.mp4,people walking along Lake Michigan
C:/Users/poloj/Video_captioning/videos/video27.mp4,traffic on the M6 motorway near a junction
C:/Users/poloj/Video_captioning/videos/video28.mp4,a fire truck is parked on the street
C:/Users/poloj/Video_captioning/videos/video29.mp4,fireworks in the night sky
C:/Users/poloj/Video_captioning/videos/video30.mp4,a young boy playing piano in a living room
C:/Users/poloj/Video_captioning/videos/video31.mp4,a waterfall in a jungle
C:/Users/poloj/Video_captioning/videos/video32.mp4,a red bird perched on a tree branch
C:/Users/poloj/Video_captioning/videos/video33.mp4,a fire burning in a fireplace with logs
C:/Users/poloj/Video_captioning/videos/video34.mp4,a cup of coffee and a book on a window sill
C:/Users/poloj/Video_captioning/videos/video35.mp4,two boys playing in water at sunset
C:/Users/poloj/Video_captioning/videos/video36.mp4,a field of flowers with the sun setting in the background
C:/Users/poloj/Video_captioning/videos/video37.mp4,a young woman walking in the woods
C:/Users/poloj/Video_captioning/videos/video38.mp4,a person playing guitar in the dark
C:/Users/poloj/Video_captioning/videos/video39.mp4,a group of women in colorful clothes dancing
C:/Users/poloj/Video_captioning/videos/video40.mp4,a Buddha statue in a temple in Thailand
C:/Users/poloj/Video_captioning/videos/video41.mp4,snow falling on a branch with red berries
C:/Users/poloj/Video_captioning/videos/video42.mp4,stock footage of meat on the grill
C:/Users/poloj/Video_captioning/videos/video43.mp4,a blender with green liquid inside
C:/Users/poloj/Video_captioning/videos/video44.mp4,a man playing tabla in a recording studio
C:/Users/poloj/Video_captioning/videos/video45.mp4,two women walking on a beach at sunset
C:/Users/poloj/Video_captioning/videos/video46.mp4,a young boy playing with a toy in a yard
C:/Users/poloj/Video_captioning/videos/video47.mp4,a volcano erupting into the sky
C:/Users/poloj/Video_captioning/videos/video48.mp4,people flying kites in the sky
C:/Users/poloj/Video_captioning/videos/video49.mp4,a pool table in a room
C:/Users/poloj/Video_captioning/videos/video50.mp4,a person in a boat on water
C:/Users/poloj/Video_captioning/videos/video51.mp4,a person riding a wave on a surfboard
C:/Users/poloj/Video_captioning/videos/video52.mp4,a group of people doing squats in a gym
C:/Users/poloj/Video_captioning/videos/video53.mp4,two boxers fighting in a boxing match

